"variable","variable_label","value_code","value_label"
"polclimate","Do you feel that there is a supportive or hostile climate towards people with your political beliefs in your law school?",2,"Somewhat hostile"
"polclimate","Do you feel that there is a supportive or hostile climate towards people with your political beliefs in your law school?",3,"Neither supportive nor hostile"
"polclimate","Do you feel that there is a supportive or hostile climate towards people with your political beliefs in your law school?",4,"Somewhat supportive"
"polclimate","Do you feel that there is a supportive or hostile climate towards people with your political beliefs in your law school?",5,"Very supportive"
"polhide","How often, if at all, do you hide your political beliefs from other faculty in an attempt to keep your job?",1,"Never"
"polhide","How often, if at all, do you hide your political beliefs from other faculty in an attempt to keep your job?",2,"Rarely"
"polhide","How often, if at all, do you hide your political beliefs from other faculty in an attempt to keep your job?",3,"Occasionally, once or twice a month"
"polhide","How often, if at all, do you hide your political beliefs from other faculty in an attempt to keep your job?",4,"Fairly often, a couple times a week"
"polhide","How often, if at all, do you hide your political beliefs from other faculty in an attempt to keep your job?",5,"Very often, nearly every day"
"hirecons","If an applicant seeking a position in your law school is notably conservative, how often, if at all, do you believe this would adversely affect your decision to hire the applicant?",1,"Never"
"hirecons","If an applicant seeking a position in your law school is notably conservative, how often, if at all, do you believe this would adversely affect your decision to hire the applicant?",2,"Rarely"
"hirecons","If an applicant seeking a position in your law school is notably conservative, how often, if at all, do you believe this would adversely affect your decision to hire the applicant?",3,"Sometimes"
"hirecons","If an applicant seeking a position in your law school is notably conservative, how often, if at all, do you believe this would adversely affect your decision to hire the applicant?",4,"Often"
"hirecons","If an applicant seeking a position in your law school is notably conservative, how often, if at all, do you believe this would adversely affect your decision to hire the applicant?",5,"Always"
"hirelib","If an applicant seeking a position in your law school is notably liberal, how often, if at all, do you believe this would adversely affect your decision to hire the applicant?",1,"Never"
"hirelib","If an applicant seeking a position in your law school is notably liberal, how often, if at all, do you believe this would adversely affect your decision to hire the applicant?",2,"Rarely"
"hirelib","If an applicant seeking a position in your law school is notably liberal, how often, if at all, do you believe this would adversely affect your decision to hire the applicant?",3,"Sometimes"
"hirelib","If an applicant seeking a position in your law school is notably liberal, how often, if at all, do you believe this would adversely affect your decision to hire the applicant?",4,"Often"
"hirelib","If an applicant seeking a position in your law school is notably liberal, how often, if at all, do you believe this would adversely affect your decision to hire the applicant?",5,"Always"
"mentorcons","If a student asked you to be his or her mentor/advisor and you knew the student was notably conservative, how often, if at all, do you believe this would adversely affect your decision to mentor/advise the student?",1,"Never"
"mentorcons","If a student asked you to be his or her mentor/advisor and you knew the student was notably conservative, how often, if at all, do you believe this would adversely affect your decision to mentor/advise the student?",2,"Rarely"
"mentorcons","If a student asked you to be his or her mentor/advisor and you knew the student was notably conservative, how often, if at all, do you believe this would adversely affect your decision to mentor/advise the student?",3,"Sometimes"
"mentorcons","If a student asked you to be his or her mentor/advisor and you knew the student was notably conservative, how often, if at all, do you believe this would adversely affect your decision to mentor/advise the student?",4,"Often"
"mentorcons","If a student asked you to be his or her mentor/advisor and you knew the student was notably conservative, how often, if at all, do you believe this would adversely affect your decision to mentor/advise the student?",5,"Always"
"mentorlib","If a student asked you to be his or her mentor/advisor and you knew the student was notably liberal, how often, if at all, do you believe this would adversely affect your decision to mentor/advise the student?",1,"Never"
"mentorlib","If a student asked you to be his or her mentor/advisor and you knew the student was notably liberal, how often, if at all, do you believe this would adversely affect your decision to mentor/advise the student?",2,"Rarely"
"mentorlib","If a student asked you to be his or her mentor/advisor and you knew the student was notably liberal, how often, if at all, do you believe this would adversely affect your decision to mentor/advise the student?",3,"Sometimes"
"mentorlib","If a student asked you to be his or her mentor/advisor and you knew the student was notably liberal, how often, if at all, do you believe this would adversely affect your decision to mentor/advise the student?",4,"Often"
"mentorlib","If a student asked you to be his or her mentor/advisor and you knew the student was notably liberal, how often, if at all, do you believe this would adversely affect your decision to mentor/advise the student?",5,"Always"
"clerkcons","If a student asked you to write a clerkship recommendation, and you knew the student was applying to mostly Republican-appointed judges, how often, if at all, do you believe this would adversely affect your decision to write the letter?",1,"Never"
"clerkcons","If a student asked you to write a clerkship recommendation, and you knew the student was applying to mostly Republican-appointed judges, how often, if at all, do you believe this would adversely affect your decision to write the letter?",2,"Rarely"
"clerkcons","If a student asked you to write a clerkship recommendation, and you knew the student was applying to mostly Republican-appointed judges, how often, if at all, do you believe this would adversely affect your decision to write the letter?",3,"Sometimes"
"clerkcons","If a student asked you to write a clerkship recommendation, and you knew the student was applying to mostly Republican-appointed judges, how often, if at all, do you believe this would adversely affect your decision to write the letter?",4,"Often"
"clerkcons","If a student asked you to write a clerkship recommendation, and you knew the student was applying to mostly Republican-appointed judges, how often, if at all, do you believe this would adversely affect your decision to write the letter?",5,"Always"
"clerklib","If a student asked you to write a clerkship recommendation, and you knew the student was applying to mostly Democrat-appointed judges, how often, if at all, do you believe this would adversely affect your decision to write the letter?",1,"Never"
"clerklib","If a student asked you to write a clerkship recommendation, and you knew the student was applying to mostly Democrat-appointed judges, how often, if at all, do you believe this would adversely affect your decision to write the letter?",2,"Rarely"
"clerklib","If a student asked you to write a clerkship recommendation, and you knew the student was applying to mostly Democrat-appointed judges, how often, if at all, do you believe this would adversely affect your decision to write the letter?",3,"Sometimes"
"clerklib","If a student asked you to write a clerkship recommendation, and you knew the student was applying to mostly Democrat-appointed judges, how often, if at all, do you believe this would adversely affect your decision to write the letter?",4,"Often"
"clerklib","If a student asked you to write a clerkship recommendation, and you knew the student was applying to mostly Democrat-appointed judges, how often, if at all, do you believe this would adversely affect your decision to write the letter?",5,"Always"
"fitlib","How well would a liberal individual fit in your law school?",1,"Very poor fit"
"fitlib","How well would a liberal individual fit in your law school?",2,"Somewhat poor fit"
"fitlib","How well would a liberal individual fit in your law school?",3,"Neither poor nor positive fit"
"fitlib","How well would a liberal individual fit in your law school?",4,"Somewhat positive fit"
"fitlib","How well would a liberal individual fit in your law school?",5,"Very positive fit"
"fitcons","How well would a conservative individual fit in your law school?",1,"Very poor fit"
"fitcons","How well would a conservative individual fit in your law school?",2,"Somewhat poor fit"
"fitcons","How well would a conservative individual fit in your law school?",3,"Neither poor nor positive fit"
"fitcons","How well would a conservative individual fit in your law school?",4,"Somewhat positive fit"
"fitcons","How well would a conservative individual fit in your law school?",5,"Very positive fit"
"col_hirecons","If an applicant seeking a position in your law school is notably conservative, how often, if at all, do you believe this would adversely affect your colleagues' decision to hire the applicant?",1,"Never"
"col_hirecons","If an applicant seeking a position in your law school is notably conservative, how often, if at all, do you believe this would adversely affect your colleagues' decision to hire the applicant?",2,"Rarely"
"col_hirecons","If an applicant seeking a position in your law school is notably conservative, how often, if at all, do you believe this would adversely affect your colleagues' decision to hire the applicant?",3,"Sometimes"
"col_hirecons","If an applicant seeking a position in your law school is notably conservative, how often, if at all, do you believe this would adversely affect your colleagues' decision to hire the applicant?",4,"Often"
"col_hirecons","If an applicant seeking a position in your law school is notably conservative, how often, if at all, do you believe this would adversely affect your colleagues' decision to hire the applicant?",5,"Always"
"col_hirelib","If an applicant seeking a position in your law school is notably liberal, how often, if at all, do you believe this would adversely affect your colleagues' decision to hire the applicant?",1,"Never"
"col_hirelib","If an applicant seeking a position in your law school is notably liberal, how often, if at all, do you believe this would adversely affect your colleagues' decision to hire the applicant?",2,"Rarely"
"col_hirelib","If an applicant seeking a position in your law school is notably liberal, how often, if at all, do you believe this would adversely affect your colleagues' decision to hire the applicant?",3,"Sometimes"
"col_hirelib","If an applicant seeking a position in your law school is notably liberal, how often, if at all, do you believe this would adversely affect your colleagues' decision to hire the applicant?",4,"Often"
"col_hirelib","If an applicant seeking a position in your law school is notably liberal, how often, if at all, do you believe this would adversely affect your colleagues' decision to hire the applicant?",5,"Always"
"col_mentorcons","If a student was seeking a mentor/advisor and your colleagues knew the student was notably conservative, how often, if at all, do you believe this would adversely affect your colleagues' decision to mentor/advise the student?",1,"Never"
"col_mentorcons","If a student was seeking a mentor/advisor and your colleagues knew the student was notably conservative, how often, if at all, do you believe this would adversely affect your colleagues' decision to mentor/advise the student?",2,"Rarely"
"col_mentorcons","If a student was seeking a mentor/advisor and your colleagues knew the student was notably conservative, how often, if at all, do you believe this would adversely affect your colleagues' decision to mentor/advise the student?",3,"Sometimes"
"col_mentorcons","If a student was seeking a mentor/advisor and your colleagues knew the student was notably conservative, how often, if at all, do you believe this would adversely affect your colleagues' decision to mentor/advise the student?",4,"Often"
"col_mentorcons","If a student was seeking a mentor/advisor and your colleagues knew the student was notably conservative, how often, if at all, do you believe this would adversely affect your colleagues' decision to mentor/advise the student?",5,"Always"
"col_mentorlib","If a student was seeking a mentor/advisor and your colleagues knew the student was notably liberal, how often, if at all, do you believe this would adversely affect your colleagues' decision to mentor/advise the student?",1,"Never"
"col_mentorlib","If a student was seeking a mentor/advisor and your colleagues knew the student was notably liberal, how often, if at all, do you believe this would adversely affect your colleagues' decision to mentor/advise the student?",2,"Rarely"
"col_mentorlib","If a student was seeking a mentor/advisor and your colleagues knew the student was notably liberal, how often, if at all, do you believe this would adversely affect your colleagues' decision to mentor/advise the student?",3,"Sometimes"
"col_mentorlib","If a student was seeking a mentor/advisor and your colleagues knew the student was notably liberal, how often, if at all, do you believe this would adversely affect your colleagues' decision to mentor/advise the student?",4,"Often"
"col_mentorlib","If a student was seeking a mentor/advisor and your colleagues knew the student was notably liberal, how often, if at all, do you believe this would adversely affect your colleagues' decision to mentor/advise the student?",5,"Always"
"col_clerkcons","If a student was seeking a clerkship recommendation, and your colleagues knew the student was applying to mostly Republican-appointed judges, how often, if at all, do you believe this would adversely affect your colleagues'  decision to write a letter?",1,"Never"
"col_clerkcons","If a student was seeking a clerkship recommendation, and your colleagues knew the student was applying to mostly Republican-appointed judges, how often, if at all, do you believe this would adversely affect your colleagues'  decision to write a letter?",2,"Rarely"
"col_clerkcons","If a student was seeking a clerkship recommendation, and your colleagues knew the student was applying to mostly Republican-appointed judges, how often, if at all, do you believe this would adversely affect your colleagues'  decision to write a letter?",3,"Sometimes"
"col_clerkcons","If a student was seeking a clerkship recommendation, and your colleagues knew the student was applying to mostly Republican-appointed judges, how often, if at all, do you believe this would adversely affect your colleagues'  decision to write a letter?",4,"Often"
"col_clerkcons","If a student was seeking a clerkship recommendation, and your colleagues knew the student was applying to mostly Republican-appointed judges, how often, if at all, do you believe this would adversely affect your colleagues'  decision to write a letter?",5,"Always"
"col_clerklib","If a student was seeking a clerkship recommendation, and your colleagues knew the student was applying to mostly Democrat-appointed judges, how often, if at all, do you believe this would adversely affect your colleagues' decision to write a letter?",1,"Never"
"col_clerklib","If a student was seeking a clerkship recommendation, and your colleagues knew the student was applying to mostly Democrat-appointed judges, how often, if at all, do you believe this would adversely affect your colleagues' decision to write a letter?",2,"Rarely"
"col_clerklib","If a student was seeking a clerkship recommendation, and your colleagues knew the student was applying to mostly Democrat-appointed judges, how often, if at all, do you believe this would adversely affect your colleagues' decision to write a letter?",3,"Sometimes"
"col_clerklib","If a student was seeking a clerkship recommendation, and your colleagues knew the student was applying to mostly Democrat-appointed judges, how often, if at all, do you believe this would adversely affect your colleagues' decision to write a letter?",4,"Often"
"col_clerklib","If a student was seeking a clerkship recommendation, and your colleagues knew the student was applying to mostly Democrat-appointed judges, how often, if at all, do you believe this would adversely affect your colleagues' decision to write a letter?",5,"Always"
"educontext","Legal education is most effective in:",1,"A non-adversarial context (e.g., Didactic lecturing, standardized grading)"
"educontext","Legal education is most effective in:",2,"An adversarial context (e.g., Socratic dialogue, enforced grading curve)"
"educontext","Legal education is most effective in:",3,"Neither / don’t know"
"FLDF","How familiar, if at all, are you with FIRE’s Faculty Legal Defense Fund (FLDF)?",1,"Never heard of it"
"FLDF","How familiar, if at all, are you with FIRE’s Faculty Legal Defense Fund (FLDF)?",2,"I’ve heard of it, but I don’t know much about it"
"FLDF","How familiar, if at all, are you with FIRE’s Faculty Legal Defense Fund (FLDF)?",3,"Somewhat familiar"
"FLDF","How familiar, if at all, are you with FIRE’s Faculty Legal Defense Fund (FLDF)?",4,"Very familiar"
"Position","Which most accurately describes your law school affiliation?",1,"Chaired or Distinguished Professor"
"Position","Which most accurately describes your law school affiliation?",2,"Full Professor"
"Position","Which most accurately describes your law school affiliation?",3,"Clinical Professor"
"Position","Which most accurately describes your law school affiliation?",4,"Associate Professor"
"Position","Which most accurately describes your law school affiliation?",5,"Assistant Professor"
"Position","Which most accurately describes your law school affiliation?",6,"Emeriti"
"Position","Which most accurately describes your law school affiliation?",7,"Administrator"
"Position","Which most accurately describes your law school affiliation?",8,"Adjunct / Lecturer"
"Position","Which most accurately describes your law school affiliation?",9,"Affiliate/Courtesy Professor"
"Position","Which most accurately describes your law school affiliation?",10,"Visiting Professor"
"Position","Which most accurately describes your law school affiliation?",11,"Professor of Practice"
"Position","Which most accurately describes your law school affiliation?",12,"Librarian"
"Area","What is your primary academic area of study in law? - Selected Choice",1,"Administrative / education law"
"Area","What is your primary academic area of study in law? - Selected Choice",2,"Alternative dispute resolution"
"Area","What is your primary academic area of study in law? - Selected Choice",3,"Bankruptcy"
"Area","What is your primary academic area of study in law? - Selected Choice",4,"Business law / business organizations / commercial litigation"
"Area","What is your primary academic area of study in law? - Selected Choice",5,"Civil procedure"
"Area","What is your primary academic area of study in law? - Selected Choice",6,"Communications / media law"
"Area","What is your primary academic area of study in law? - Selected Choice",7,"Conflict of laws"
"Area","What is your primary academic area of study in law? - Selected Choice",8,"Constitutional law"
"Area","What is your primary academic area of study in law? - Selected Choice",9,"Contract law"
"Area","What is your primary academic area of study in law? - Selected Choice",10,"Copyright / trademark / intellectual property law"
"Area","What is your primary academic area of study in law? - Selected Choice",11,"Criminal law"
"Area","What is your primary academic area of study in law? - Selected Choice",12,"Criminal procedure"
"Area","What is your primary academic area of study in law? - Selected Choice",13,"Environmental law"
"Area","What is your primary academic area of study in law? - Selected Choice",14,"Family / adoption law"
"Area","What is your primary academic area of study in law? - Selected Choice",15,"First Amendment law"
"Area","What is your primary academic area of study in law? - Selected Choice",16,"Health law"
"Area","What is your primary academic area of study in law? - Selected Choice",17,"Immigration law"
"Area","What is your primary academic area of study in law? - Selected Choice",18,"International / comparative law"
"Area","What is your primary academic area of study in law? - Selected Choice",19,"Jurisprudence"
"Area","What is your primary academic area of study in law? - Selected Choice",20,"Legal ethics"
"Area","What is your primary academic area of study in law? - Selected Choice",21,"Legal history"
"Area","What is your primary academic area of study in law? - Selected Choice",22,"Maritime / admiralty law"
"Area","What is your primary academic area of study in law? - Selected Choice",23,"Military law / law of war"
"Area","What is your primary academic area of study in law? - Selected Choice",24,"Property law"
"Area","What is your primary academic area of study in law? - Selected Choice",25,"Tax law"
"Area","What is your primary academic area of study in law? - Selected Choice",26,"Tort law"
"Area","What is your primary academic area of study in law? - Selected Choice",27,"Trust and estates law"
"Area","What is your primary academic area of study in law? - Selected Choice",28,"Other"
"Degree_1","What degree(s) have you earned? (Select all that apply) J.D.",1,"J.D."
"Degree_2","What degree(s) have you earned? (Select all that apply) Professional doctorate other than J.D. (e.g., MD, DDS, AuD, PharmD)",1,"Professional doctorate other than J.D. (e.g., MD, DDS, AuD, PharmD)"
"Degree_3","What degree(s) have you earned? (Select all that apply) LLM or Masters",1,"LLM or Masters"
"Degree_4","What degree(s) have you earned? (Select all that apply) Research doctorate (e.g., PhD, SJD, EdD)",1,"Research doctorate (e.g., PhD, SJD, EdD)"
"Degree_5","What degree(s) have you earned? (Select all that apply) Honorary doctorate (e.g., DLitt, LL.D.)",1,"Honorary doctorate (e.g., DLitt, LL.D.)"
"Gender","What is your gender?",1,"Female"
"Gender","What is your gender?",2,"Male"
"Gender","What is your gender?",3,"Other / decline to state"
"Race","How would you describe yourself? - Selected Choice",1,"American Indian or Alaska Native"
"Race","How would you describe yourself? - Selected Choice",2,"Asian American"
"Race","How would you describe yourself? - Selected Choice",3,"Black or African American"
"Race","How would you describe yourself? - Selected Choice",4,"Hispanic or Latin American"
"Race","How would you describe yourself? - Selected Choice",5,"Middle Eastern/North African"
"Race","How would you describe yourself? - Selected Choice",6,"Native Hawaiian or Other Pacific Islander"
"Race","How would you describe yourself? - Selected Choice",7,"Two or more races"
"Race","How would you describe yourself? - Selected Choice",8,"White or Caucasian"
"Race","How would you describe yourself? - Selected Choice",9,"Not listed above (please specify)"
"Ideo","Using the following scale, how would you describe your political beliefs, generally? - Selected Choice",1,"Very liberal"
"Ideo","Using the following scale, how would you describe your political beliefs, generally? - Selected Choice",2,"Liberal"
"Ideo","Using the following scale, how would you describe your political beliefs, generally? - Selected Choice",3,"Slightly liberal"
"Ideo","Using the following scale, how would you describe your political beliefs, generally? - Selected Choice",4,"Moderate, middle-of-the-road"
"Ideo","Using the following scale, how would you describe your political beliefs, generally? - Selected Choice",5,"Slightly conservative"
"Ideo","Using the following scale, how would you describe your political beliefs, generally? - Selected Choice",6,"Conservative"
"Ideo","Using the following scale, how would you describe your political beliefs, generally? - Selected Choice",7,"Very conservative"
"Ideo","Using the following scale, how would you describe your political beliefs, generally? - Selected Choice",8,"Something else (please specify)"
"ideobin","ideobin",1,"liberal"
"ideobin","ideobin",2,"moderate"
"ideobin","ideobin",3,"conservative"
"Party","In politics today, do you consider yourself a Republican, Democrat, or something else? - Selected Choice",1,"Strong Democrat"
"Party","In politics today, do you consider yourself a Republican, Democrat, or something else? - Selected Choice",2,"Lean Democrat"
"Party","In politics today, do you consider yourself a Republican, Democrat, or something else? - Selected Choice",3,"Independent"
"Party","In politics today, do you consider yourself a Republican, Democrat, or something else? - Selected Choice",4,"Lean Republican"
"Party","In politics today, do you consider yourself a Republican, Democrat, or something else? - Selected Choice",5,"Strong Republican"
"Party","In politics today, do you consider yourself a Republican, Democrat, or something else? - Selected Choice",6,"Something else (please specify)"
"age_5cat","age_5cat",1,"21-34"
"age_5cat","age_5cat",2,"35-44"
"age_5cat","age_5cat",3,"45-54"
"age_5cat","age_5cat",4,"55-64"
"age_5cat","age_5cat",5,"65+"
"Religion","What is your present religion, if any?",1,"Mainline Protestant"
"Religion","What is your present religion, if any?",2,"Evangelical Protestant"
"Religion","What is your present religion, if any?",3,"Roman Catholic"
"Religion","What is your present religion, if any?",4,"Mormon"
"Religion","What is your present religion, if any?",5,"Eastern or Greek Orthodox"
"Religion","What is your present religion, if any?",6,"Jewish"
"Religion","What is your present religion, if any?",7,"Muslim"
"Religion","What is your present religion, if any?",8,"Buddhist"
"Religion","What is your present religion, if any?",9,"Hindu"
"Religion","What is your present religion, if any?",10,"Atheist"
"Religion","What is your present religion, if any?",11,"Agnostic"
"Religion","What is your present religion, if any?",12,"Nothing in Particular"
"Religion","What is your present religion, if any?",13,"Something else"
"Religion2","Do you belong to any one of these churches or groups?",1,"Baptist"
"Religion2","Do you belong to any one of these churches or groups?",2,"Methodist"
"Religion2","Do you belong to any one of these churches or groups?",3,"Nondenominational or Independent Church"
"Religion2","Do you belong to any one of these churches or groups?",4,"Lutheran"
"Religion2","Do you belong to any one of these churches or groups?",5,"Presbyterian"
"Religion2","Do you belong to any one of these churches or groups?",6,"Pentecostal"
"Religion2","Do you belong to any one of these churches or groups?",7,"Episcopalian"
"Religion2","Do you belong to any one of these churches or groups?",8,"Church of Christ or Disciples of Christ"
"Religion2","Do you belong to any one of these churches or groups?",9,"Congregational or United Church of Christ"
"Religion2","Do you belong to any one of these churches or groups?",10,"Holiness"
"Religion2","Do you belong to any one of these churches or groups?",11,"Reformed"
"Religion2","Do you belong to any one of these churches or groups?",12,"Adventist"
"Religion2","Do you belong to any one of these churches or groups?",13,"Jehovah’s Witness"
"Religion2","Do you belong to any one of these churches or groups?",14,"None of these"
